Date,Open,Close
2017-11-09,308.644989,320.884003
2017-11-10,320.67099,299.252991
2017-11-11,298.585999,314.681
2017-11-12,314.690002,307.90799
2017-11-13,307.024994,316.716003
2017-11-14,316.763,337.631012
2017-11-15,337.963989,333.356995
2017-11-16,333.442993,330.924011
2017-11-17,330.166992,332.394012
2017-11-18,331.980011,347.612
2017-11-19,347.401001,354.385986
2017-11-20,354.093994,366.730011
2017-11-21,367.442993,360.401001
2017-11-22,360.312012,380.652008
2017-11-23,381.438995,410.165985
2017-11-24,412.501007,474.911011
2017-11-25,475.675995,466.276001
2017-11-26,465.973999,471.329987
2017-11-27,471.531006,480.355011
2017-11-28,480.518005,472.902008
2017-11-29,473.281006,427.52301
2017-11-30,431.214996,447.114014
2017-12-01,445.209015,466.540009
2017-12-02,466.851013,463.449005
2017-12-03,463.704987,465.852997
2017-12-04,466.053986,470.20401
2017-12-05,470.294006,463.281006
2017-12-06,462.604004,428.588013
2017-12-07,426.368988,434.40799
2017-12-08,434.989014,456.031006
2017-12-09,457.343994,473.502014
2017-12-10,472.789001,441.721008
2017-12-11,440.358002,515.135986
2017-12-12,522.286011,651.43103
2017-12-13,644.906006,702.767029
2017-12-14,700.593994,695.815979
2017-12-15,696.375977,684.447998
2017-12-16,686.192017,696.208984
2017-12-17,696.237,719.974976
2017-12-18,721.731995,794.64502
2017-12-19,793.901001,826.822998
2017-12-20,827.515991,819.085999
2017-12-21,820.236023,821.062988
2017-12-22,822.643005,674.859985
2017-12-23,681.315979,719.387024
2017-12-24,721.768982,694.14801
2017-12-25,698.869995,765.833984
2017-12-26,763.369995,773.835999
2017-12-27,774.969971,762.84198
2017-12-28,762.208008,737.02301
2017-12-29,740.388977,753.59198
2017-12-30,753.815002,717.257019
2017-12-31,712.211975,756.732971
2018-01-01,755.757019,772.640991
2018-01-02,772.346008,884.44397
2018-01-03,886.0,962.719971
2018-01-04,961.713013,980.921997
2018-01-05,975.75,997.719971
2018-01-06,995.153992,1041.680054
2018-01-07,1043.01001,1153.170044
2018-01-08,1158.26001,1148.530029
2018-01-09,1146.0,1299.73999
2018-01-10,1300.339966,1255.819946
2018-01-11,1268.089966,1154.930054
2018-01-12,1158.290039,1273.199951
2018-01-13,1270.469971,1396.420044
2018-01-14,1397.47998,1366.77002
2018-01-15,1365.209961,1291.920044
2018-01-16,1292.630005,1053.689941
2018-01-17,1061.339966,1014.25
2018-01-18,1016.440002,1036.280029
2018-01-19,1028.819946,1039.099976
2018-01-20,1044.949951,1155.150024
2018-01-21,1155.680054,1049.579956
2018-01-22,1055.349976,1003.26001
2018-01-23,1004.169983,986.229004
2018-01-24,987.47699,1058.780029
2018-01-25,1063.219971,1056.030029
2018-01-26,1052.699951,1055.170044
2018-01-27,1055.75,1107.069946
2018-01-28,1111.780029,1246.01001
2018-01-29,1246.699951,1182.359985
2018-01-30,1184.130005,1071.130005
2018-01-31,1071.089966,1118.310059
2018-02-01,1119.369995,1036.790039
2018-02-02,1035.77002,915.784973
2018-02-03,919.210999,964.018982
2018-02-04,964.666992,834.682007
2018-02-05,834.958008,697.950989
2018-02-06,707.737,793.122009
2018-02-07,790.427979,757.067993
2018-02-08,755.843018,817.807007
2018-02-09,818.47998,883.86499
2018-02-10,882.46698,860.414978
2018-02-11,859.288025,814.659973
2018-02-12,817.507996,868.70697
2018-02-13,869.29303,845.257996
2018-02-14,844.278992,923.560974
2018-02-15,923.728027,936.976013
2018-02-16,934.786011,944.210022
2018-02-17,944.747986,974.11499
2018-02-18,973.348999,923.921021
2018-02-19,921.66803,943.86499
2018-02-20,943.567017,895.370972
2018-02-21,894.13501,849.971008
2018-02-22,849.262024,812.844971
2018-02-23,811.585022,864.189026
2018-02-24,861.593018,840.515015
