Date,Open,Close
2014-09-17,5.08589,5.05855
2014-09-18,5.06543,4.68523
2014-09-19,4.68729,4.32777
2014-09-20,4.3292,4.28644
2014-09-21,4.26307,4.24592
2014-09-22,4.24593,4.24235
2014-09-23,4.23999,4.74657
2014-09-24,4.7442,4.66679
2014-09-25,4.66588,4.51465
2014-09-26,4.50993,4.43359
2014-09-27,4.43439,4.4218
2014-09-28,4.42462,4.23323
2014-09-29,4.23763,4.24679
2014-09-30,4.25219,4.47473
2014-10-01,4.47096,4.42856
2014-10-02,4.43015,4.32266
2014-10-03,4.31936,4.17512
2014-10-04,4.17313,3.9382
2014-10-05,3.94207,3.69914
2014-10-06,3.70305,3.82237
2014-10-07,3.81333,3.85863
2014-10-08,3.85547,3.90789
2014-10-09,3.90862,3.90066
2014-10-10,3.89886,3.80739
2014-10-11,3.79592,3.77266
2014-10-12,3.77658,3.85033
2014-10-13,3.84644,3.86178
2014-10-14,3.86452,4.07591
2014-10-15,4.07699,4.05642
2014-10-16,4.05774,3.99089
2014-10-17,3.99144,3.99327
2014-10-18,3.99163,4.05576
2014-10-19,4.05643,3.98894
2014-10-20,3.98357,3.90983
2014-10-21,3.9118,3.94001
2014-10-22,3.94095,3.84332
2014-10-23,3.84697,3.73965
2014-10-24,3.73949,3.74753
2014-10-25,3.74873,3.66755
2014-10-26,3.66895,3.72718
2014-10-27,3.72406,3.80731
2014-10-28,3.81227,3.84607
2014-10-29,3.85288,3.72695
2014-10-30,3.7345,3.78586
2014-10-31,3.78465,3.754
2014-11-01,3.75666,3.57059
2014-11-02,3.57688,3.5851
2014-11-03,3.58591,3.57806
2014-11-04,3.58042,3.59176
2014-11-05,3.59031,3.64485
2014-11-06,3.64214,3.64956
2014-11-07,3.64967,3.55737
2014-11-08,3.55665,3.55626
2014-11-09,3.55484,3.63146
2014-11-10,3.63216,3.69563
2014-11-11,3.69851,3.67589
2014-11-12,3.67973,4.06861
2014-11-13,4.13299,4.09766
2014-11-14,4.0855,3.98937
2014-11-15,3.99226,3.85433
2014-11-16,3.84119,3.88363
2014-11-17,3.88056,3.87744
2014-11-18,3.87515,3.77016
2014-11-19,3.77996,3.80746
2014-11-20,3.80696,3.61155
2014-11-21,3.6143,3.49693
2014-11-22,3.50114,3.52329
2014-11-23,3.52278,3.59436
2014-11-24,3.59464,3.62855
2014-11-25,3.62498,3.5675
2014-11-26,3.56891,3.56046
2014-11-27,3.56507,3.55988
2014-11-28,3.56079,3.60386
2014-11-29,3.60471,3.58628
2014-11-30,3.58596,3.57609
2014-12-01,3.57559,3.57714
2014-12-02,3.57799,3.6311
2014-12-03,3.628,3.61202
2014-12-04,3.6117,3.59263
2014-12-05,3.59409,3.61823
2014-12-06,3.61596,3.61452
2014-12-07,3.6156,3.71116
2014-12-08,3.70837,3.6532
2014-12-09,3.65502,3.52117
2014-12-10,3.52384,3.49986
2014-12-11,3.49393,3.48108
2014-12-12,3.4789,3.48671
2014-12-13,3.48657,3.47607
2014-12-14,3.4752,3.48048
2014-12-15,3.48111,3.45078
2014-12-16,3.45184,3.01526
2014-12-17,3.01056,2.94023
2014-12-18,2.94443,2.80557
2014-12-19,2.80528,2.86911
2014-12-20,2.8671,2.92358
2014-12-21,2.91463,2.85039
2014-12-22,2.86025,2.88579
2014-12-23,2.88732,2.88196
2014-12-24,2.8777,2.73834
2014-12-25,2.73595,2.69945
2014-12-26,2.7007,2.78169
2014-12-27,2.77958,2.71695
2014-12-28,2.719,2.73304
2014-12-29,2.7338,2.69482
2014-12-30,2.69617,2.70401
2014-12-31,2.70384,2.71893
2015-01-01,2.72421,2.69905
2015-01-02,2.69743,2.66736
2015-01-03,2.66646,2.13316
2015-01-04,2.11022,1.95668
2015-01-05,1.95803,2.08218
2015-01-06,2.08434,2.11212
2015-01-07,2.1181,2.11818
2015-01-08,2.11561,2.00807
2015-01-09,2.01002,1.98336
2015-01-10,1.96999,1.65332
2015-01-11,1.6536,1.72456
2015-01-12,1.71768,1.71423
2015-01-13,1.7102,1.54112
2015-01-14,1.54961,1.15701
2015-01-15,1.15324,1.28277
2015-01-16,1.27719,1.40227
2015-01-17,1.3978,1.29341
2015-01-18,1.29603,1.33333
2015-01-19,1.32857,1.34178
2015-01-20,1.34099,1.32355
2015-01-21,1.3239,1.37331
2015-01-22,1.37427,1.41875
2015-01-23,1.41231,1.42595
2015-01-24,1.43068,1.8438
2015-01-25,1.84205,2.2483
2015-01-26,2.24549,2.08105
2015-01-27,2.07418,2.08608
2015-01-28,2.09127,1.87202
2015-01-29,1.87663,1.91567
2015-01-30,1.91446,1.89763
2015-01-31,1.89613,1.8735
2015-02-01,1.87878,1.80352
2015-02-02,1.81281,1.87618
2015-02-03,1.87418,1.82176
2015-02-04,1.82085,1.79235
2015-02-05,1.79474,1.74123
2015-02-06,1.74033,1.75941
2015-02-07,1.75956,1.78172
2015-02-08,1.78679,1.78359
2015-02-09,1.78527,1.73147
2015-02-10,1.73325,1.76318
2015-02-11,1.76081,1.72744
2015-02-12,1.73081,1.75756
2015-02-13,1.75509,1.82168
2015-02-14,1.82293,1.93769
2015-02-15,1.94003,1.842
2015-02-16,1.84448,1.79628
2015-02-17,1.79412,1.85312
2015-02-18,1.85666,1.82816
2015-02-19,1.82521,1.84676
2015-02-20,1.84202,1.84795
2015-02-21,1.84896,1.84891
2015-02-22,1.84988,1.7962
2015-02-23,1.80305,1.82041
2015-02-24,1.81356,1.82932
2015-02-25,1.83,1.80234
2015-02-26,1.8081,1.81013
2015-02-27,1.80117,1.85142
2015-02-28,1.84918,1.84073
2015-03-01,1.84576,1.89157
2015-03-02,1.89242,1.9361
2015-03-03,1.9422,1.95592
2015-03-04,1.95605,1.9305
2015-03-05,1.92448,1.91641
2015-03-06,1.92033,1.89782
2015-03-07,1.89359,1.9105
2015-03-08,1.91353,1.89186
2015-03-09,1.8925,1.94428
2015-03-10,1.944,2.00906
2015-03-11,2.00824,2.02628
2015-03-12,2.02358,2.04279
2015-03-13,2.04211,2.00796
2015-03-14,2.00409,1.99605
2015-03-15,1.99462,2.01883
2015-03-16,2.02176,2.03308
2015-03-17,2.03447,1.98215
2015-03-18,1.98265,1.74254
2015-03-19,1.74365,1.75909
2015-03-20,1.76328,1.76721
2015-03-21,1.76692,1.74669
2015-03-22,1.74583,1.79772
2015-03-23,1.79968,1.77816
2015-03-24,1.77551,1.65159
2015-03-25,1.6546,1.67314
2015-03-26,1.67272,1.69549
2015-03-27,1.6912,1.68674
2015-03-28,1.68267,1.70366
2015-03-29,1.70459,1.65568
2015-03-30,1.65646,1.66958
2015-03-31,1.66961,1.6526
2015-04-01,1.65103,1.66463
2015-04-02,1.66689,1.67781
2015-04-03,1.67682,1.69851
2015-04-04,1.69983,1.68785
2015-04-05,1.68251,1.70082
2015-04-06,1.70164,1.68687
2015-04-07,1.68598,1.66842
2015-04-08,1.66827,1.6275
2015-04-09,1.61959,1.58594
2015-04-10,1.58526,1.52704
2015-04-11,1.52283,1.45911
2015-04-12,1.45879,1.46247
2015-04-13,1.47176,1.3769
2015-04-14,1.37585,1.37848
2015-04-15,1.37596,1.383
2015-04-16,1.38324,1.42145
2015-04-17,1.42154,1.40913
2015-04-18,1.40984,1.40993
2015-04-19,1.40987,1.38917
2015-04-20,1.38429,1.40896
2015-04-21,1.4081,1.42388
2015-04-22,1.4322,1.45419
2015-04-23,1.45531,1.46175
2015-04-24,1.45821,1.41928
2015-04-25,1.42041,1.40291
2015-04-26,1.3995,1.32117
2015-04-27,1.32185,1.38348
2015-04-28,1.38264,1.36402
2015-04-29,1.36257,1.36132
2015-04-30,1.36098,1.43984
2015-05-01,1.44285,1.40659
2015-05-02,1.40725,1.42153
2015-05-03,1.4198,1.4327
2015-05-04,1.43461,1.40766
2015-05-05,1.41488,1.40664
2015-05-06,1.40633,1.3889
2015-05-07,1.38973,1.45518
2015-05-08,1.4549,1.48108
2015-05-09,1.48048,1.44831
2015-05-10,1.4483,1.43874
2015-05-11,1.43852,1.43733
2015-05-12,1.43881,1.44562
2015-05-13,1.44381,1.45142
2015-05-14,1.45004,1.44777
2015-05-15,1.44784,1.45429
2015-05-16,1.4547,1.44613
2015-05-17,1.44647,1.45414
2015-05-18,1.45364,1.44637
2015-05-19,1.44678,1.45319
2015-05-20,1.45352,1.45919
2015-05-21,1.46075,1.47806
2015-05-22,1.47949,1.8323
2015-05-23,1.8313,1.78646
2015-05-24,1.78738,1.83117
2015-05-25,1.83341,1.80332
2015-05-26,1.8027,1.81731
2015-05-27,1.81612,1.84502
2015-05-28,1.847,1.84075
2015-05-29,1.8406,1.83135
2015-05-30,1.83017,1.81312
2015-05-31,1.81209,1.63708
2015-06-01,1.63856,1.61601
2015-06-02,1.61608,1.66997
2015-06-03,1.6705,1.68718
2015-06-04,1.68667,1.66835
2015-06-05,1.66929,1.76057
2015-06-06,1.76106,1.75981
2015-06-07,1.7585,1.73053
2015-06-08,1.73182,1.78646
2015-06-09,1.78491,1.79582
2015-06-10,1.79665,1.75924
2015-06-11,1.75915,1.79216
2015-06-12,1.7896,1.80219
2015-06-13,1.80274,1.86153
2015-06-14,1.86078,2.00287
2015-06-15,2.00235,2.01825
2015-06-16,2.01804,2.87659
2015-06-17,2.89642,2.88862
2015-06-18,2.89033,3.09507
2015-06-19,3.09533,2.8073
2015-06-20,2.8102,3.03591
2015-06-21,3.03519,3.02236
2015-06-22,3.02145,3.02846
2015-06-23,3.02777,2.97453
2015-06-24,2.97423,2.77863
2015-06-25,2.77278,2.85033
2015-06-26,2.84674,2.86024
2015-06-27,2.86143,3.10317
2015-06-28,3.09358,3.30582
2015-06-29,3.18773,3.7365
2015-06-30,3.74412,4.08676
2015-07-01,4.086,3.92427
2015-07-02,3.92664,4.06537
2015-07-03,4.06233,4.11531
2015-07-04,4.11832,4.11353
2015-07-05,4.1269,4.95272
2015-07-06,4.947,5.41723
2015-07-07,5.43707,5.23463
2015-07-08,5.24678,6.36112
2015-07-09,6.35645,7.53694
2015-07-10,7.52701,4.50522
2015-07-11,4.47577,4.37382
2015-07-12,4.38751,5.28725
2015-07-13,5.29992,4.6799
2015-07-14,4.68284,4.64989
2015-07-15,4.64896,4.21409
2015-07-16,4.19748,3.68978
2015-07-17,3.72079,3.78681
2015-07-18,3.78299,4.00188
2015-07-19,4.00438,3.76611
2015-07-20,3.77032,3.93859
2015-07-21,3.93053,3.76621
2015-07-22,3.78298,3.82366
2015-07-23,3.82554,3.78444
2015-07-24,3.78946,4.60183
2015-07-25,4.59776,4.63199
2015-07-26,4.63255,4.66232
2015-07-27,4.68313,4.67137
2015-07-28,4.67001,5.0584
2015-07-29,5.04962,4.79768
2015-07-30,4.79262,4.57803
2015-07-31,4.5822,4.64104
2015-08-01,4.63908,4.1532
2015-08-02,4.08738,4.17491
2015-08-03,4.16947,4.16219
2015-08-04,4.18342,4.37793
2015-08-05,4.37433,4.34922
2015-08-06,4.349,4.06467
2015-08-07,4.06334,4.20828
2015-08-08,4.22099,3.85475
2015-08-09,3.84339,3.89859
2015-08-10,3.9008,3.94888
2015-08-11,3.94874,4.15955
2015-08-12,4.14334,3.98545
2015-08-13,3.97227,3.88034
2015-08-14,3.88069,4.02623
2015-08-15,4.02249,3.92546
2015-08-16,3.93203,3.95228
2015-08-17,3.96332,3.98396
2015-08-18,3.98368,3.46971
2015-08-19,3.47965,3.47782
2015-08-20,3.47081,3.60509
2015-08-21,3.60023,3.56502
2015-08-22,3.56256,3.51123
2015-08-23,3.51328,3.39447
2015-08-24,3.39258,2.99474
2015-08-25,2.98477,2.9372
2015-08-26,2.94969,2.94651
2015-08-27,2.94614,2.86605
2015-08-28,2.84239,2.90629
2015-08-29,2.91616,2.87651
2015-08-30,2.87156,2.8484
2015-08-31,2.85323,2.84207
2015-09-01,2.84742,2.82001
2015-09-02,2.81981,2.79545
2015-09-03,2.79669,2.63314
2015-09-04,2.63814,2.70112
2015-09-05,2.70205,2.91954
2015-09-06,2.91782,3.04807
2015-09-07,3.039,3.0459
2015-09-08,3.04737,3.04738
2015-09-09,3.04828,2.92392
2015-09-10,2.92465,2.94936
2015-09-11,2.94878,2.95746
2015-09-12,2.96257,2.82555
2015-09-13,2.82479,2.81594
2015-09-14,2.81492,2.84465
2015-09-15,2.8442,2.82319
